,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
458,30,0.3,0.5,1,0,0,0.0
459,30,0.3,0.5,227,59,1,0.017323732376098633
460,30,0.3,0.5,356,71,1,0.0165097713470459
461,30,0.3,0.5,602,0,0,0.0358433723449707
462,30,0.3,0.5,578,0,0,0.01628398895263672
463,30,0.3,0.5,592,0,0,0.035012006759643555
464,30,0.3,0.5,236,61,1,0.0
465,30,0.3,0.5,3,0,0,0.0
466,30,0.3,0.5,586,0,0,0.015759944915771484
467,30,0.3,0.5,342,59,1,0.017297029495239258
468,30,0.3,0.5,556,0,0,0.04854226112365723
469,30,0.3,0.5,294,59,1,0.01668691635131836
470,30,0.3,0.5,393,61,1,0.013547897338867188
471,30,0.3,0.5,321,59,1,0.0
472,30,0.3,0.5,212,61,1,0.0
473,30,0.3,0.5,299,59,1,0.0
474,30,0.3,0.5,275,67,1,0.0
475,30,0.3,0.5,640,0,0,0.03332209587097168
476,30,0.3,0.5,250,59,1,0.0
477,30,0.3,0.5,620,0,0,0.032268524169921875
478,30,0.3,0.5,315,65,1,0.016479969024658203
479,30,0.3,0.5,263,63,1,0.01686882972717285
480,30,0.3,0.5,43,0,0,0.0
481,30,0.3,0.5,309,59,1,0.015671253204345703
482,30,0.3,0.5,173,59,1,0.01366734504699707
483,30,0.3,0.5,282,63,1,0.013709068298339844
484,30,0.3,0.5,623,0,0,0.044189453125
485,30,0.3,0.5,225,59,1,0.0070569515228271484
486,30,0.3,0.5,195,61,1,0.0073392391204833984
487,30,0.3,0.5,8,0,0,0.0009434223175048828
488,30,0.3,0.5,172,59,1,0.0010402202606201172
489,30,0.3,0.5,297,65,1,0.011382818222045898
490,30,0.3,0.5,7,0,0,0.0
491,30,0.3,0.5,283,59,1,0.011655807495117188
492,30,0.3,0.5,452,63,1,0.02075338363647461
493,30,0.3,0.5,582,0,0,0.06719803810119629
494,30,0.3,0.5,608,0,0,0.058365583419799805
495,30,0.3,0.5,305,61,1,0.01762700080871582
496,30,0.3,0.5,272,59,1,0.016004085540771484
497,30,0.3,0.5,1,0,0,0.0
498,30,0.3,0.5,242,63,1,0.01685047149658203
499,30,0.3,0.5,313,59,1,0.016403675079345703
500,30,0.3,0.6,5,0,0,0.0
501,30,0.3,0.6,215,59,1,0.0042035579681396484
502,30,0.3,0.6,200,59,1,0.0
503,30,0.3,0.6,156,61,1,0.014450788497924805
504,30,0.3,0.6,648,0,0,0.029941082000732422
505,30,0.3,0.6,1,0,0,0.0
506,30,0.3,0.6,274,61,1,0.0009987354278564453
507,30,0.3,0.6,14,0,0,0.0
508,30,0.3,0.6,390,61,1,0.0167386531829834
509,30,0.3,0.6,17,0,0,0.0
510,30,0.3,0.6,195,59,1,0.016735315322875977
511,30,0.3,0.6,154,59,1,0.016697168350219727
512,30,0.3,0.6,12,0,0,0.0
513,30,0.3,0.6,623,0,0,0.03052830696105957
514,30,0.3,0.6,615,0,0,0.03212451934814453
515,30,0.3,0.6,533,0,0,0.034343719482421875
516,30,0.3,0.6,232,59,1,0.0162656307220459
517,30,0.3,0.6,171,59,1,0.0
518,30,0.3,0.6,535,65,1,0.016664505004882812
519,30,0.3,0.6,188,59,1,0.0
520,30,0.3,0.6,159,61,1,0.0
521,30,0.3,0.6,598,0,0,0.03344011306762695
522,30,0.3,0.6,1,0,0,0.0
523,30,0.3,0.6,70,0,0,0.0
524,30,0.3,0.6,321,61,1,0.016411304473876953
525,30,0.3,0.6,3,0,0,0.0
526,30,0.3,0.6,610,0,0,0.06668305397033691
527,30,0.3,0.6,3,0,0,0.0
528,30,0.3,0.6,17,0,0,0.0
529,30,0.3,0.6,598,0,0,0.06651449203491211
530,30,0.3,0.6,641,0,0,0.0317685604095459
531,30,0.3,0.6,4,0,0,0.0
532,30,0.3,0.6,1,0,0,0.0
533,30,0.3,0.6,68,0,0,0.0
534,30,0.3,0.6,260,61,1,0.006748199462890625
535,30,0.3,0.6,1,0,0,0.0
536,30,0.3,0.6,1,0,0,0.0
537,30,0.3,0.6,6,0,0,0.0
538,30,0.3,0.6,647,0,0,0.032858848571777344
539,30,0.3,0.6,292,61,1,0.017618656158447266
540,30,0.3,0.6,592,0,0,0.030302047729492188
541,30,0.3,0.6,292,59,1,0.007659912109375
542,30,0.3,0.6,220,63,1,0.011822223663330078
543,30,0.3,0.6,189,59,1,0.010158777236938477
544,30,0.3,0.6,265,65,1,0.00963735580444336
545,30,0.3,0.6,228,59,1,0.008862018585205078
546,30,0.3,0.6,6,0,0,0.0062673091888427734
547,30,0.3,0.6,316,61,1,0.03678703308105469
548,30,0.3,0.6,6,0,0,0.001795053482055664
549,30,0.3,0.6,247,59,1,0.0027937889099121094
550,30,0.3,0.6,627,0,0,0.029194116592407227
551,30,0.3,0.6,612,0,0,0.029202938079833984
552,30,0.3,0.6,163,59,1,0.0010440349578857422
553,30,0.3,0.6,592,0,0,0.02986884117126465
554,30,0.3,0.6,25,0,0,0.006383657455444336
555,30,0.3,0.6,340,59,1,0.014181375503540039
556,30,0.3,0.6,336,59,1,0.014747381210327148
557,30,0.3,0.6,3,0,0,0.0
558,30,0.3,0.6,308,61,1,0.007384777069091797
559,30,0.3,0.6,546,0,0,0.06070661544799805
560,30,0.3,0.6,1,0,0,0.0
561,30,0.3,0.6,206,59,1,0.006147623062133789
562,30,0.3,0.6,619,0,0,0.03571057319641113
563,30,0.3,0.6,291,61,1,0.0074040889739990234
564,30,0.3,0.6,3,0,0,0.0
565,30,0.3,0.6,5,0,0,0.007435798645019531
566,30,0.3,0.6,291,61,1,0.014462947845458984
567,30,0.3,0.6,1,0,0,0.0
568,30,0.3,0.6,3,0,0,0.0
569,30,0.3,0.6,616,0,0,0.04484748840332031
570,30,0.3,0.6,364,79,1,0.015259742736816406
571,30,0.3,0.6,590,0,0,0.0230257511138916
572,30,0.3,0.6,603,0,0,0.03574824333190918
573,30,0.3,0.6,410,0,0,0.040618181228637695
574,30,0.3,0.6,220,59,1,0.012795209884643555
575,30,0.3,0.6,4,0,0,0.0
576,30,0.3,0.6,273,59,1,0.013700008392333984
577,30,0.3,0.6,306,59,1,0.01625347137451172
578,30,0.3,0.6,249,59,1,0.01570606231689453
579,30,0.3,0.6,132,59,1,0.0
580,30,0.3,0.6,357,59,1,0.01726222038269043
581,30,0.3,0.6,209,59,1,0.0
582,30,0.3,0.6,349,61,1,0.0026483535766601562
583,30,0.3,0.6,323,67,1,0.01679205894470215
584,30,0.3,0.6,7,0,0,0.014894723892211914
585,30,0.3,0.6,4,0,0,0.0
586,30,0.3,0.6,179,59,1,0.0
587,30,0.3,0.6,159,59,1,0.018010854721069336
588,30,0.3,0.6,227,59,1,0.0
589,30,0.3,0.6,47,0,0,0.0
590,30,0.3,0.6,444,73,1,0.0166013240814209
591,30,0.3,0.6,8,0,0,0.0
592,30,0.3,0.6,227,61,1,0.007827043533325195
593,30,0.3,0.6,224,59,1,0.016557931900024414
594,30,0.3,0.6,1,0,0,0.0
595,30,0.3,0.6,594,0,0,0.022937536239624023
596,30,0.3,0.6,613,0,0,0.03327608108520508
597,30,0.3,0.6,355,61,1,0.01581287384033203
598,30,0.3,0.6,223,59,1,0.0
599,30,0.3,0.6,10,0,0,0.0
600,30,0.3,0.7,295,59,1,0.0184628963470459
601,30,0.3,0.7,23,0,0,0.0
602,30,0.3,0.7,323,59,1,0.015249013900756836
603,30,0.3,0.7,219,59,1,0.0
604,30,0.3,0.7,466,67,1,0.03355908393859863
605,30,0.3,0.7,1,0,0,0.0
606,30,0.3,0.7,100,0,0,0.0
607,30,0.3,0.7,446,59,1,0.01711297035217285
608,30,0.3,0.7,1,0,0,0.010493993759155273
609,30,0.3,0.7,344,59,1,0.0035910606384277344
610,30,0.3,0.7,3,0,0,0.0
611,30,0.3,0.7,253,73,1,0.0
612,30,0.3,0.7,5,0,0,0.0
613,30,0.3,0.7,239,61,1,0.017678260803222656
614,30,0.3,0.7,548,0,0,0.03435182571411133
615,30,0.3,0.7,174,59,1,0.0
616,30,0.3,0.7,244,59,1,0.0
617,30,0.3,0.7,558,0,0,0.02593207359313965
618,30,0.3,0.7,7,0,0,0.0
619,30,0.3,0.7,1,0,0,0.0
620,30,0.3,0.7,549,0,0,0.033275604248046875
621,30,0.3,0.7,1,0,0,0.0156400203704834
622,30,0.3,0.7,174,59,1,0.000997304916381836
623,30,0.3,0.7,371,65,1,0.015685081481933594
624,30,0.3,0.7,17,0,0,0.0
625,30,0.3,0.7,285,59,1,0.010891199111938477
626,30,0.3,0.7,618,0,0,0.035711050033569336
627,30,0.3,0.7,335,61,1,0.014594554901123047
628,30,0.3,0.7,360,67,1,0.01555490493774414
629,30,0.3,0.7,189,59,1,0.0167696475982666
630,30,0.3,0.7,313,59,1,0.0
631,30,0.3,0.7,213,61,1,0.005516529083251953
632,30,0.3,0.7,6,0,0,0.000997304916381836
633,30,0.3,0.7,412,65,1,0.014712810516357422
634,30,0.3,0.7,3,0,0,0.0
635,30,0.3,0.7,301,59,1,0.013710737228393555
636,30,0.3,0.7,629,0,0,0.0734710693359375
637,30,0.3,0.7,663,0,0,0.034482479095458984
638,30,0.3,0.7,577,0,0,0.028271198272705078
639,30,0.3,0.7,155,59,1,0.0035037994384765625
640,30,0.3,0.7,13,0,0,0.0
641,30,0.3,0.7,29,0,0,0.0010409355163574219
642,30,0.3,0.7,395,61,1,0.03679466247558594
643,30,0.3,0.7,19,0,0,0.0
644,30,0.3,0.7,145,59,1,0.00638890266418457
645,30,0.3,0.7,609,0,0,0.05729866027832031
646,30,0.3,0.7,190,59,1,0.006247997283935547
647,30,0.3,0.7,242,59,1,0.021008968353271484
648,30,0.3,0.7,588,0,0,0.030500411987304688
649,30,0.3,0.7,242,61,1,0.009305000305175781
650,30,0.3,0.7,281,61,1,0.00944662094116211
651,30,0.3,0.7,3,0,0,0.0
652,30,0.3,0.7,4,0,0,0.0
653,30,0.3,0.7,1,0,0,0.006108999252319336
654,30,0.3,0.7,12,0,0,0.0
655,30,0.3,0.7,178,59,1,0.0010306835174560547
656,30,0.3,0.7,606,0,0,0.028772830963134766
657,30,0.3,0.7,6,0,0,0.0
